,City,City_id,Country,Lat,Lon,Sfc_temp_F,Sfc_press_mb,Rel_humidity_pct,Wind_speed_kts,Clouds_pct
189,Ponta Delgada,3372783,PT,37.73,-25.67,72.03,1022.0,73,9.17,75
190,Hami,1529484,CN,42.84,93.51,76.33,1011.96,21,5.75,0
191,Ribeira Grande,3372707,PT,38.52,-28.7,71.6,1021.0,94,9.17,75
192,Selfoss,3413604,IS,63.94,-21.0,52.45,982.0,87,11.41,90
193,Hobyo,57000,SO,5.35,48.53,76.87,1012.16,78,26.69,100
194,Carnarvon,1014034,ZA,-30.97,22.13,55.27,1018.92,31,15.48,0
195,Severo-Kurilsk,2121385,RU,50.68,156.12,47.71,1006.33,97,1.36,100
196,Tessalit,2449893,ML,20.2,1.01,93.43,1009.19,36,7.45,57
197,Mahebourg,934322,MU,-20.41,57.7,71.26,1025.0,60,11.41,75
198,Belomorsk,577922,RU,64.52,34.76,54.19,1013.86,82,8.72,68
199,Pangnirtung,6096551,CA,66.15,-65.72,51.8,1000.0,76,16.11,90
200,Aswan,359792,EG,24.09,32.9,98.6,1008.0,17,10.29,0
201,Kichera,2022129,RU,55.93,110.1,47.17,1015.69,92,4.41,80
202,Port Blair,1259385,IN,11.67,92.75,81.19,1009.34,84,22.28,100
203,Port Elizabeth,4501427,US,39.31,-74.98,70.79,1022.0,64,13.87,90
204,Paducah,4048662,US,37.08,-88.6,77.49,1012.0,83,6.93,90
205,Barrow,3833859,AR,-38.31,-60.23,71.47,1014.81,50,8.37,83
206,Channel-Port aux Basques,5919815,CA,47.57,-59.14,62.83,1023.37,56,1.88,84
207,Road Town,3577430,VG,18.42,-64.62,86.67,1016.0,62,8.05,40
208,Cape Coast,2302357,GH,5.11,-1.24,75.97,1013.24,86,13.22,24
209,Jatibonico,3556334,CU,21.94,-79.17,87.49,1014.63,67,3.36,82
210,Racale,2523660,IT,39.96,18.09,82.92,1014.0,94,4.7,5
211,Abu Zabad,380348,SD,12.35,29.25,67.87,1011.36,95,16.82,71
212,Katubao,1709108,PH,5.89,124.83,77.59,1007.9,84,5.86,100
213,Saldanha,2737599,PT,41.42,-6.55,74.71,1013.08,51,5.73,84
214,Lavrentiya,4031637,RU,65.58,-170.99,52.03,1008.85,81,7.47,99
215,Teofilo Otoni,3446621,BR,-17.86,-41.51,72.19,1021.73,62,5.75,94
216,Nagato,1899102,JP,34.35,131.14,74.35,1012.0,100,1.12,75
217,Opuwo,3354077,NA,-18.06,13.84,64.63,1017.08,23,7.0,0
218,Airai,1651810,TL,-8.93,125.41,64.81,1012.38,79,4.41,6
219,Meulaboh,1214488,ID,4.14,96.13,81.19,1011.75,79,5.84,100
